name,year,out,in,tot,tourn_type,tourn_year,hole,score,par,ob,water,side,rel_to_par
A210,11,51,55,106,regionals,2014,1,7,5,TRUE,TRUE,front,2
A211,9,55,62,117,regionals,2014,1,7,5,TRUE,TRUE,front,2
A212,12,58,64,122,regionals,2014,1,8,5,TRUE,TRUE,front,3
A213,10,38,40,78,regionals,2014,1,5,5,TRUE,TRUE,front,0
A214,11,40,44,84,regionals,2014,1,5,5,TRUE,TRUE,front,0
A215,12,48,51,99,regionals,2014,1,5,5,TRUE,TRUE,front,0
A216,11,45,55,100,regionals,2014,1,8,5,TRUE,TRUE,front,3
A217,10,49,48,97,regionals,2014,1,6,5,TRUE,TRUE,front,1
A218,11,45,45,90,regionals,2014,1,4,5,TRUE,TRUE,front,-1
A219,11,59,68,127,regionals,2014,1,6,5,TRUE,TRUE,front,1
A220,11,65,71,136,regionals,2014,1,7,5,TRUE,TRUE,front,2
A221,9,64,59,123,regionals,2014,1,10,5,TRUE,TRUE,front,5
A222,10,44,41,85,regionals,2014,1,5,5,TRUE,TRUE,front,0
A223,12,43,42,85,regionals,2014,1,5,5,TRUE,TRUE,front,0
A224,12,46,39,85,regionals,2014,1,8,5,TRUE,TRUE,front,3
A225,11,42,45,87,regionals,2014,1,5,5,TRUE,TRUE,front,0
A226,9,43,46,89,regionals,2014,1,5,5,TRUE,TRUE,front,0
A227,11,47,46,93,regionals,2014,1,7,5,TRUE,TRUE,front,2
A228,12,51,45,96,regionals,2014,1,6,5,TRUE,TRUE,front,1
A229,11,46,59,105,regionals,2014,1,6,5,TRUE,TRUE,front,1
A230,12,43,45,88,regionals,2014,1,6,5,TRUE,TRUE,front,1
A231,12,42,44,86,regionals,2014,1,5,5,TRUE,TRUE,front,0
A232,11,41,42,83,regionals,2014,1,6,5,TRUE,TRUE,front,1
A233,12,56,50,106,regionals,2014,1,8,5,TRUE,TRUE,front,3
A234,10,51,52,103,regionals,2014,1,7,5,TRUE,TRUE,front,2
A235,11,67,70,137,regionals,2014,1,10,5,TRUE,TRUE,front,5
A236,12,55,59,114,regionals,2014,1,7,5,TRUE,TRUE,front,2
A237,12,37,40,77,regionals,2014,1,5,5,TRUE,TRUE,front,0
A238,10,39,43,82,regionals,2014,1,5,5,TRUE,TRUE,front,0
A239,11,57,59,116,regionals,2014,1,10,5,TRUE,TRUE,front,5
A240,9,48,47,95,regionals,2014,1,5,5,TRUE,TRUE,front,0
A241,11,55,66,121,regionals,2014,1,7,5,TRUE,TRUE,front,2
A242,12,44,44,88,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A243,12,44,49,93,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A244,12,51,50,101,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A245,9,58,65,123,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A246,11,59,62,121,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A247,10,38,41,79,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A248,9,42,43,85,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A249,9,50,48,98,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A250,10,52,55,107,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A251,9,58,51,109,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A252,11,54,55,109,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A253,11,47,49,96,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A254,11,51,56,107,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A255,10,53,48,101,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A256,12,50,56,106,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A257,12,41,41,82,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A258,12,49,49,98,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A259,12,46,49,95,sectionals,2015,1,8,5,TRUE,TRUE,front,3
A260,11,50,56,106,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A261,12,52,48,100,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A262,11,38,43,81,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A263,12,43,49,92,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A264,12,40,45,85,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A265,11,47,49,96,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A266,9,49,46,95,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A267,12,54,50,104,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A268,9,43,41,84,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A269,11,49,46,95,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A270,11,57,54,111,sectionals,2015,1,13,5,TRUE,TRUE,front,8
A271,11,48,47,95,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A272,9,35,39,74,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A273,11,38,38,76,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A274,12,48,51,99,sectionals,2015,1,8,5,TRUE,TRUE,front,3
A275,9,38,43,81,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A276,11,48,47,95,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A277,11,36,32,68,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A278,12,40,45,85,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A279,11,42,42,84,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A280,11,43,40,83,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A281,11,62,57,119,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A282,12,38,38,76,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A283,12,40,43,83,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A284,9,46,47,93,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A285,12,50,53,103,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A286,12,48,54,102,sectionals,2015,1,9,5,TRUE,TRUE,front,4
A287,12,39,38,77,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A288,11,43,42,85,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A289,11,41,45,86,sectionals,2015,1,8,5,TRUE,TRUE,front,3
A290,12,45,49,94,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A291,10,44,37,81,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A292,10,41,44,85,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A293,12,45,49,94,sectionals,2015,1,8,5,TRUE,TRUE,front,3
A294,11,51,45,96,sectionals,2015,1,8,5,TRUE,TRUE,front,3
A295,10,46,49,95,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A296,12,42,42,84,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A297,10,56,49,105,sectionals,2015,1,9,5,TRUE,TRUE,front,4
A298,12,44,41,85,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A299,12,54,50,104,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A300,11,54,53,107,sectionals,2015,1,9,5,TRUE,TRUE,front,4
A301,12,40,37,77,sectionals,2015,1,4,5,TRUE,TRUE,front,-1
A302,12,41,37,78,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A303,11,41,39,80,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A304,11,40,44,84,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A305,12,44,43,87,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A306,12,43,44,87,sectionals,2015,1,7,5,TRUE,TRUE,front,2
A307,12,41,48,89,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A308,11,41,49,90,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A309,11,44,47,91,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A310,12,50,43,93,sectionals,2015,1,6,5,TRUE,TRUE,front,1
A311,10,49,54,103,sectionals,2015,1,5,5,TRUE,TRUE,front,0
A312,11,61,60,121,sectionals,2015,1,9,5,TRUE,TRUE,front,4
A313,12,39,41,80,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A314,9,43,41,84,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A315,9,47,50,97,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A316,11,64,52,116,sectionals,2016,1,9,5,TRUE,TRUE,front,4
A317,12,57,59,116,sectionals,2016,1,10,5,TRUE,TRUE,front,5
A318,12,50,46,96,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A319,10,42,43,85,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A320,11,47,44,91,sectionals,2016,1,9,5,TRUE,TRUE,front,4
A321,9,53,47,100,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A322,10,49,56,105,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A323,10,39,42,81,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A324,11,56,54,110,sectionals,2016,1,8,5,TRUE,TRUE,front,3
A325,10,58,59,117,sectionals,2016,1,9,5,TRUE,TRUE,front,4
A326,9,69,66,135,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A327,9,47,49,96,sectionals,2016,1,9,5,TRUE,TRUE,front,4
A328,10,43,43,86,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A329,10,47,48,95,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A330,9,46,53,99,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A331,10,43,50,93,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A332,11,37,36,73,sectionals,2016,1,4,5,TRUE,TRUE,front,-1
A333,10,47,41,88,sectionals,2016,1,10,5,TRUE,TRUE,front,5
A334,9,40,48,88,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A335,11,43,49,92,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A336,10,52,54,106,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A337,10,41,43,84,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A338,12,51,42,93,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A339,12,49,47,96,sectionals,2016,1,8,5,TRUE,TRUE,front,3
A340,12,50,50,100,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A341,12,51,56,107,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A342,12,42,44,86,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A343,12,42,40,82,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A344,10,44,47,91,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A345,12,55,51,106,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A346,12,42,49,91,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A347,12,41,42,83,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A348,12,44,52,96,sectionals,2016,1,4,5,TRUE,TRUE,front,-1
A349,10,46,45,91,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A350,12,47,47,94,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A351,12,55,49,104,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A352,12,45,42,87,sectionals,2016,1,7,5,TRUE,TRUE,front,2
A353,12,48,52,100,sectionals,2016,1,6,5,TRUE,TRUE,front,1
A354,12,38,53,91,sectionals,2016,1,5,5,TRUE,TRUE,front,0
A355,11,42,50,92,sectionals,2016,1,7,5,TRUE,TRUE,front,2
