name,year,1,2,3,4,5,6,7,8,9,out,10,11,12,13,14,15,16,17,18,in,tot,tourn_type,tourn_year
A465,12,5,6,4,5,5,3,6,4,4,42,4,4,6,4,5,3,5,4,4,39,81,sectionals,2018
A466,12,7,6,5,6,4,4,8,6,5,51,5,6,6,4,5,6,6,4,5,47,98,sectionals,2018
A467,10,9,8,8,8,5,6,7,8,6,65,6,6,6,8,5,5,4,4,7,51,116,sectionals,2018
A468,12,6,5,7,6,6,6,5,4,5,50,5,7,4,8,6,5,7,4,5,51,101,sectionals,2018
A469,11,4,5,6,4,5,3,5,5,4,41,5,5,5,5,7,6,4,3,6,46,87,sectionals,2018
A470,12,6,4,5,5,5,4,5,6,4,44,6,4,8,3,6,5,5,3,5,45,89,sectionals,2018
A471,12,5,5,4,4,3,4,7,3,3,38,5,5,6,4,5,5,5,5,5,45,83,sectionals,2018
A472,11,7,5,5,4,5,3,5,5,4,43,5,5,5,4,6,4,5,3,4,41,84,sectionals,2018
A473,11,5,5,5,7,4,4,6,5,4,45,5,7,5,3,7,6,5,4,4,46,91,sectionals,2018
A474,12,6,4,4,4,5,3,5,4,3,38,3,4,4,3,5,4,4,4,4,35,73,sectionals,2018
A475,9,5,4,5,4,5,3,3,4,3,36,4,5,4,4,5,5,4,2,5,38,74,sectionals,2018
A476,11,6,5,4,6,5,3,5,5,4,43,7,5,5,3,6,5,5,4,5,45,88,sectionals,2018
A477,11,9,4,9,11,6,5,5,8,6,63,6,8,6,5,7,5,6,6,5,54,117,sectionals,2018
A478,10,7,7,7,6,6,4,5,4,6,52,4,6,6,5,6,7,6,6,4,50,102,sectionals,2018
A479,11,8,4,4,5,4,3,4,6,4,42,3,5,6,3,6,5,5,3,8,44,86,sectionals,2018
A480,9,7,4,5,6,6,4,5,4,4,45,7,7,5,4,6,5,4,3,4,45,90,sectionals,2018
A481,12,5,5,5,5,5,3,7,6,5,46,5,6,5,4,6,5,6,3,5,45,91,sectionals,2018
A482,12,6,3,5,5,5,5,5,5,3,42,6,6,6,4,7,5,6,5,5,50,92,sectionals,2018
A483,12,8,6,5,5,6,3,6,5,5,49,6,7,6,4,5,4,5,4,5,46,95,sectionals,2018
A484,11,6,5,7,6,5,4,6,7,3,49,5,6,5,4,6,5,6,3,5,48,97,sectionals,2018
A485,12,11,7,5,6,4,5,4,6,4,52,4,6,5,4,6,5,6,3,7,46,98,sectionals,2018
A486,12,9,5,5,6,5,6,7,5,4,52,5,7,5,3,8,6,6,3,4,47,99,sectionals,2018
A487,11,6,6,6,4,5,5,9,5,4,50,5,8,5,5,8,6,5,4,5,51,101,sectionals,2018
A488,9,8,9,5,5,5,6,7,6,4,55,5,4,7,4,8,7,6,5,6,52,107,sectionals,2018
A489,11,8,7,6,7,6,5,7,7,5,58,5,8,6,5,7,5,4,5,6,51,109,sectionals,2018
A490,10,4,6,5,6,6,7,7,5,7,53,8,7,5,5,7,6,6,6,7,57,110,sectionals,2018
A491,12,7,4,5,7,5,4,8,9,5,54,7,8,8,6,6,4,6,7,6,58,112,sectionals,2018
A492,9,7,6,12,8,6,6,6,7,4,62,7,8,6,5,7,6,6,5,5,55,117,sectionals,2018
A493,12,9,7,7,7,9,5,7,8,10,69,8,8,7,6,9,6,12,6,8,70,139,sectionals,2018
