hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title
5.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,8.0,3.0,5.0,5.0,4.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Mason Holcomb Scorecard | WSGA
8.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,6.0,6.0,4.0,5.0,5.0,Amateur Qualifier (The Oaks GC) - Ryan Warpinski Scorecard | WSGA
4.0,2.0,6.0,6.0,4.0,5.0,4.0,6.0,4.0,3.0,5.0,6.0,4.0,3.0,4.0,7.0,5.0,6.0,Amateur Qualifier (The Oaks GC) - Owen Ahern Scorecard | WSGA
5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,7.0,3.0,5.0,5.0,3.0,8.0,5.0,4.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - Matthew Kraus Scorecard | WSGA
5.0,3.0,5.0,6.0,3.0,5.0,5.0,5.0,5.0,3.0,6.0,6.0,5.0,6.0,4.0,4.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Jack Gardner Scorecard | WSGA
3.0,3.0,7.0,5.0,3.0,5.0,3.0,5.0,7.0,4.0,5.0,4.0,3.0,7.0,5.0,5.0,5.0,5.0,Amateur Qualifier (The Oaks GC) - Chuck Chandler Scorecard | WSGA
4.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,7.0,3.0,6.0,5.0,5.0,7.0,5.0,5.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - David Bae Scorecard | WSGA
5.0,3.0,8.0,6.0,5.0,5.0,2.0,4.0,6.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,7.0,Amateur Qualifier (The Oaks GC) - Connor Duggan Scorecard | WSGA
5.0,4.0,5.0,5.0,3.0,7.0,5.0,6.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,8.0,Amateur Qualifier (The Oaks GC) - Tim Russell Scorecard | WSGA
4.0,5.0,5.0,5.0,4.0,5.0,3.0,6.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,8.0,Amateur Qualifier (The Oaks GC) - Travis Galston Scorecard | WSGA
4.0,5.0,5.0,5.0,3.0,6.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,7.0,5.0,6.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Samuel Cox Scorecard | WSGA
5.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,6.0,3.0,5.0,5.0,4.0,4.0,6.0,6.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Clayton Nass Scorecard | WSGA
5.0,4.0,6.0,6.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,6.0,9.0,3.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Gabe Neitzel Scorecard | WSGA
4.0,3.0,7.0,6.0,4.0,5.0,3.0,6.0,5.0,4.0,4.0,6.0,3.0,6.0,4.0,6.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Jeff Kaether Scorecard | WSGA
5.0,4.0,5.0,5.0,4.0,6.0,4.0,5.0,6.0,3.0,7.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,Amateur Qualifier (The Oaks GC) - Alexander Fons Scorecard | WSGA
6.0,3.0,6.0,5.0,4.0,5.0,3.0,5.0,5.0,7.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,7.0,Amateur Qualifier (The Oaks GC) - Eric Lackey Scorecard | WSGA
